freq,currency,geo\TIME_PERIOD	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 	2025-S2 	2026-S1 
S,EUR,UK	: m	902 	952 	936 	977 	1011 	1109 	1039 	1064 	998 	1054 	1108 	1135 	1187 	1213 	1201 	1315 	1310 	1242 	1150 	995 	1113 	1076 	1169 	1136 	1084 	1202 	1244 	1250 	1190 	1251 	1301 	1379 	1510 	1512 	1443 	1393 	1414 	1400 	1467 	1453 	1517 	1599 	1583 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
S,EUR,US	765 	864 	889 	934 	959 	1053 	1013 	895 	851 	781 	707 	734 	655 	738 	757 	702 	678 	661 	689 	643 	816 	803 	872 	1024 	940 	869 	971 	998 	952 	961 	911 	920 	1035 	1123 	1154 	1132 	1192 	1101 	1048 	1078 	1098 	1104 	1119 	1122 	1024 	1057 	1110 	1210 	1178 	1157 	1137 	1174 	1210 	1072 	1070 
S,NAC,AL	5800 	6380 	6380 	7000 	7000 	7580 	7580 	9400 	9400 	10060 	10060 	10800 	10800 	11800 	11800 	14000 	14000 	14000 	16000 	17000 	17000 	18000 	18000 	19000 	19000 	20000 	20000 	21000 	21000 	22000 	22000 	22000 	22000 	22000 	22000 	22000 	22000 	24000 	24000 	24000 	26000 	26000 	26000 	26000 	30000 	30000 	30000 	32000 	34000 	40000 	40000 	40000 	40000 	40000 	50000 
S,NAC,AT	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,BE	1074 	1096 	1096 	1096 	1118 	1140 	1140 	1163 	1163 	1186 	1186 	1186 	1210 	1210 	1234 	1234 	1259 	1283 	1310 	1336 	1388 	1388 	1388 	1388 	1415 	1444 	1444 	1472 	1502 	1502 	1502 	1502 	1502 	1502 	1502 	1532 	1532 	1563 	1563 	1563 	1594 	1594 	1594 	1626 	1626 	1626 	1658 	1842 	1955 	1955 	1994 	2070 	2070 	2112 	2112 
S,NAC,BG	31 	34 	34 	38 	40 	43 	51 	51 	56 	56 	61 	61 	77 	77 	82 	82 	92 	92 	112 	112 	123 	123 	123 	123 	123 	123 	138 	148 	159 	159 	174 	174 	184 	194 	215 	215 	235 	235 	261 	261 	286 	286 	312 	312 	332 	332 	332 	363 	399 	399 	477 	477 	551 	551 	620 
S,NAC,CH	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,CY	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	940 	940 	1000 	1000 	1000 	1000 	1088 
S,NAC,CZ	3250 	3600 	4000 	4500 	5000 	5000 	5700 	5700 	6200 	6200 	6700 	6700 	7185 	7185 	7570 	7955 	8000 	8000 	8000 	8000 	8000 	8000 	8000 	8000 	8000 	8000 	8000 	8000 	8000 	8000 	8500 	8500 	9200 	9200 	9900 	9900 	11000 	11000 	12200 	12200 	13350 	13350 	14600 	14600 	15200 	15200 	16200 	16200 	17300 	17300 	18900 	18900 	20800 	20800 	22400 
S,NAC,DE	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	1444 	1444 	1444 	1444 	1506 	1506 	1506 	1506 	1561 	1561 	1544 	1544 	1585 	1602 	1634 	1739 	1997 	1997 	2054 	2054 	2161 	2161 	2343 
S,NAC,DK	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,EE	80 	80 	89 	89 	102 	102 	118 	118 	138 	138 	159 	159 	172 	172 	192 	192 	230 	230 	278 	278 	278 	278 	278 	278 	278 	278 	290 	290 	320 	320 	355 	355 	390 	390 	430 	430 	470 	470 	500 	500 	540 	540 	584 	584 	584 	584 	654 	654 	725 	725 	820 	820 	886 	886 	886 
S,NAC,EL	505 	512 	526 	534 	544 	552 	572 	582 	607 	607 	631 	631 	668 	668 	710 	710 	730 	768 	794 	794 	818 	863 	863 	863 	863 	877 	877 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	684 	758 	758 	758 	758 	758 	774 	832 	832 	910 	910 	968 	968 	1027 	1027 
S,NAC,ES	486 	486 	496 	496 	506 	506 	516 	516 	526 	526 	537 	573 	599 	599 	631 	631 	666 	666 	700 	700 	728 	728 	739 	739 	748 	748 	748 	748 	753 	753 	753 	753 	757 	757 	764 	764 	826 	826 	859 	859 	1050 	1050 	1108 	1108 	1108 	1108 	1126 	1167 	1167 	1260 	1323 	1323 	1381 	1381 	1381 
S,NAC,FI	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,FR	1036 	1049 	1049 	1083 	1083 	1127 	1127 	1154 	1154 	1215 	1215 	1286 	1286 	1218 	1218 	1254 	1254 	1280 	1280 	1321 	1321 	1338 	1344 	1344 	1365 	1365 	1398 	1426 	1430 	1430 	1445 	1445 	1458 	1458 	1467 	1467 	1480 	1480 	1498 	1498 	1521 	1521 	1539 	1539 	1555 	1555 	1603 	1646 	1709 	1747 	1767 	1767 	1802 	1802 	1823 
S,NAC,HR	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	365 	365 	373 	373 	373 	373 	373 	373 	373 	373 	396 	401 	401 	402 	402 	414 	414 	435 	435 	457 	457 	498 	498 	539 	539 	564 	564 	622 	622 	700 	700 	840 	840 	970 	970 	1050 
S,NAC,HU	22500 	22500 	25500 	25500 	40000 	40000 	50000 	50000 	50000 	50000 	53000 	53000 	57000 	57000 	62500 	62500 	65500 	65500 	69000 	69000 	71500 	71500 	73500 	73500 	78000 	78000 	93000 	93000 	98000 	98000 	101500 	101500 	105000 	105000 	111000 	111000 	127500 	127500 	138000 	138000 	149000 	149000 	161000 	161000 	161000 	167400 	200000 	200000 	232000 	232000 	266800 	266800 	290800 	290800 	322800 
S,NAC,IE	: m	: m	: m	945 	945 	1009 	1009 	1009 	1073 	1073 	1073 	1183 	1183 	1293 	1293 	1293 	1403 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1462 	1546 	1546 	1563 	1563 	1614 	1614 	1656 	1656 	1656 	1707 	1724 	1724 	1775 	1775 	1910 	1910 	2146 	2146 	2282 	2282 	2391 
S,NAC,IS	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,IT	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,LT	125 	125 	125 	125 	125 	125 	125 	125 	125 	125 	130 	145 	145 	159 	159 	174 	174 	203 	232 	232 	232 	232 	232 	232 	232 	232 	232 	232 	290 	290 	290 	290 	300 	325 	350 	380 	380 	380 	400 	400 	555 	555 	607 	607 	642 	642 	730 	730 	840 	840 	924 	924 	1038 	1038 	1153 
S,NAC,LU	1162 	1162 	1191 	1221 	1259 	1290 	1290 	1322 	1369 	1369 	1403 	1403 	1467 	1467 	1503 	1503 	1570 	1570 	1570 	1610 	1642 	1683 	1683 	1725 	1758 	1758 	1801 	1801 	1874 	1874 	1921 	1921 	1923 	1923 	1923 	1923 	1999 	1999 	1999 	1999 	2090 	2090 	2142 	2142 	2202 	2202 	2257 	2313 	2387 	2508 	2571 	2571 	2638 	2704 	2704 
S,NAC,LV	71 	71 	71 	71 	71 	85 	85 	85 	100 	100 	114 	114 	114 	114 	128 	128 	171 	171 	228 	228 	256 	256 	256 	256 	285 	285 	285 	285 	285 	285 	320 	320 	360 	360 	370 	370 	380 	380 	430 	430 	430 	430 	430 	430 	500 	500 	500 	500 	620 	620 	700 	700 	740 	740 	780 
S,NAC,MD	18 	18 	18 	18 	100 	100 	100 	100 	100 	100 	100 	100 	200 	200 	200 	200 	200 	400 	400 	400 	600 	600 	600 	600 	600 	600 	600 	600 	600 	600 	600 	600 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	4000 	4000 	5000 	5000 	5500 	5500 	6300 
S,NAC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	288 	288 	288 	288 	288 	288 	288 	288 	288 	288 	288 	288 	331 	331 	331 	331 	331 	533 	533 	533 	533 	533 	533 	670 	670 	670 
S,NAC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12268 	12268 	13140 	13140 	13140 	13986 	13986 	14563 	14810 	17130 	17130 	17130 	17943 	20997 	21107 	21107 	21776 	22146 	22146 	26422 	26422 	29739 	29739 	33352 	33352 	36037 	36037 
S,NAC,MT	478 	478 	488 	488 	503 	503 	519 	519 	536 	536 	544 	544 	562 	562 	584 	584 	602 	602 	617 	617 	635 	635 	660 	660 	665 	665 	685 	685 	703 	703 	718 	718 	720 	720 	728 	728 	736 	736 	748 	748 	762 	762 	777 	777 	785 	785 	792 	792 	835 	835 	925 	925 	961 	961 	994 
